En	1	1
En	2	2
En	3	3
En	4	4
En	5	5
En	6	6
En	7	7
Ex	7	6
Ex	2	5
En	8	6
En	9	7
En	10	8
En	11	9
En	12	10
En	1	1	03:23:02
En	2	2	03:23:15
En	3	3	03:23:26
En	4	4	03:23:27
En	1	1	0	17:27:32	0	0	0	0	0
En	2	1	1	17:27:37	0	0	0	0	0
En	3	2	1	17:27:38	0	0	0	0	0
En	4	3	1	17:27:56	0	0	0	0	0
En	5	3	2	17:27:56	0	0	0	0	0
En	6	4	2	17:32:55	0	0	0	0	0
En	7	4	3	17:32:56	0	0	0	0	0
En	8	5	3	17:32:56	0	0	0	0	0
En	9	6	3	17:32:57	0	0	0	0	0
En	10	7	3	17:32:57	0	0	0	0	0
En	11	8	3	17:32:57	0	0	0	0	0
En	12	8	4	17:32:58	0	0	0	0	0
En	13	9	4	17:32:58	0	0	0	0	0
En	14	9	5	17:32:58	0	0	0	0	0
En	15	9	6	17:32:59	0	0	0	0	0
En	16	10	6	17:32:59	0	0	0	0	0
En	17	10	7	17:33:00	0	0	0	0	0
En	18	11	7	17:33:00	0	0	0	0	0
En	19	11	8	17:33:00	0	0	0	0	0
Ex	2	11	7	17:33:07	0	1	0	0	0
Ex	14	11	6	17:33:08	0	2	0	0	0
Ex	4	10	6	17:33:08	1	2	0	0	0
Ex	19	10	5	17:33:08	1	3	0	0	0
Ex	5	10	4	17:33:09	1	4	0	0	0
Ex	7	10	3	17:33:09	1	5	0	0	0
Ex	15	10	2	17:33:10	1	6	0	0	0
En	20	11	2	17:33:13	1	6	0	0	0
En	21	12	2	17:33:14	1	6	0	0	0
En	22	12	3	17:33:14	1	6	0	0	0
En	23	12	4	17:33:17	1	6	0	0	0
En	24	13	4	17:33:17	1	6	0	0	0
En	25	13	5	17:33:17	1	6	0	0	0
En	26	13	6	17:33:18	1	6	0	0	0
En	27	14	6	17:33:18	1	6	0	0	0
En	28	14	7	17:33:18	1	6	0	0	0
En	29	14	8	17:33:19	1	6	0	0	0
En	30	14	9	17:33:19	1	6	0	0	0
En	31	14	10	17:33:19	1	6	0	0	0
En	32	15	10	17:33:20	1	6	0	0	0
En	33	15	11	17:33:20	1	6	0	0	0
Ex	28	15	10	17:33:27	1	7	0	0	0
Ex	33	15	9	17:33:27	1	8	0	0	0
Ex	17	15	8	17:33:28	1	9	0	0	0
Ex	12	15	7	17:33:28	1	10	0	0	0
Ex	11	14	7	17:33:28	2	10	0	0	0
Ex	23	14	6	17:33:29	2	11	0	0	0
Ex	8	13	6	17:33:29	3	11	0	0	0
Ex	9	12	6	17:33:29	4	11	0	0	0
Ex	16	11	6	17:33:30	5	11	0	0	0
Ex	32	10	6	17:33:30	6	11	0	0	0
Ex	1	9	6	17:33:31	7	11	0	0	0
Pa	31	9	5	17:36:26	7	11	0	0	1
Ma	8	9	5	17:36:31	6	11	1	0	1
Ho	25	9	4	17:36:33	6	11	1	1	1
Ho	26	9	3	17:36:34	6	11	1	2	1
Ho	30	9	2	17:36:36	6	11	1	3	1
Ho	29	9	1	17:36:49	6	11	1	4	1
Ho	22	9	0	17:36:55	6	11	1	5	1
Ma	16	9	0	17:36:57	5	11	2	5	1
En	1	1	0	19:10:59	0	0	0	0	0
En	2	2	0	19:10:59	0	0	0	0	0
En	3	2	1	19:11:00	0	0	0	0	0
En	4	3	1	19:11:00	0	0	0	0	0
En	5	3	2	19:11:00	0	0	0	0	0
En	6	4	2	19:11:01	0	0	0	0	0
En	7	4	3	19:11:01	0	0	0	0	0
En	8	5	3	19:11:01	0	0	0	0	0
En	9	5	4	19:11:02	0	0	0	0	0
En	10	6	4	19:11:02	0	0	0	0	0
En	11	7	4	19:11:02	0	0	0	0	0
En	12	7	5	19:11:03	0	0	0	0	0
En	13	8	5	19:11:03	0	0	0	0	0
En	14	9	5	19:11:03	0	0	0	0	0
En	15	9	6	19:11:04	0	0	0	0	0
En	16	10	6	19:11:04	0	0	0	0	0
En	17	10	7	19:11:04	0	0	0	0	0
En	18	11	7	19:11:05	0	0	0	0	0
En	19	12	7	19:11:05	0	0	0	0	0
En	20	13	7	19:11:06	0	0	0	0	0
En	21	13	8	19:11:06	0	0	0	0	0
En	22	13	9	19:11:06	0	0	0	0	0
En	23	14	9	19:11:07	0	0	0	0	0
Pa	5	14	8	19:11:14	0	0	0	0	1
Ho	22	14	7	19:11:14	0	0	0	1	1
En	1	1	0	19:12:01	0	0	0	0	0
En	2	2	0	19:12:01	0	0	0	0	0
En	3	2	1	19:12:02	0	0	0	0	0
En	4	2	2	19:12:02	0	0	0	0	0
En	5	2	3	19:12:02	0	0	0	0	0
En	6	2	4	19:12:03	0	0	0	0	0
En	7	3	4	19:12:03	0	0	0	0	0
En	8	3	5	19:12:03	0	0	0	0	0
En	9	3	6	19:12:04	0	0	0	0	0
En	10	4	6	19:12:04	0	0	0	0	0
En	11	4	7	19:12:04	0	0	0	0	0
En	12	5	7	19:12:05	0	0	0	0	0
En	13	6	7	19:12:05	0	0	0	0	0
En	14	6	8	19:12:06	0	0	0	0	0
En	15	6	9	19:12:06	0	0	0	0	0
En	16	7	9	19:12:06	0	0	0	0	0
